L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
501,220502_4.0001.197/9,197/9,Kartuzy - M,1,0.0954,B 0.0954,ul. Prokowska 40J,Nie,Nie,,DANE OSOBOWE
502,220502_4.0001.201,201,Kartuzy - M,1,0.0664,dr 0.0664,,Nie,Nie,,DANE OSOBOWE
503,220502_4.0001.200,200,Kartuzy - M,1,0.2915,B 0.2915,ul. Prokowska 33,Nie,Nie,,DANE OSOBOWE
504,220502_4.0001.199,199,Kartuzy - M,1,0.0694,B 0.0694,,Nie,Nie,,DANE OSOBOWE
505,220502_4.0001.100/3,100/3,Kartuzy - M,1,0.0216,Br-RIVa 0.0216,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
506,220502_4.0001.100/4,100/4,Kartuzy - M,1,0.8346,RIVa 0.7794; PsIV 0.0552,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
507,220502_4.0001.145,145,Kartuzy - M,1,0.043,B 0.0430,ul. Bohaterów Westerplatte 21,Nie,Nie,,DANE OSOBOWE
508,220502_4.0001.75/1,75/1,Kartuzy - M,1,0.0131,dr 0.0131,,Nie,Nie,,DANE OSOBOWE
509,220502_4.0001.74/7,74/7,Kartuzy - M,1,0.0128,dr 0.0128,,Nie,Nie,,DANE OSOBOWE
510,220502_4.0001.71/7,71/7,Kartuzy - M,1,0.041,dr 0.0410,,Nie,Nie,,DANE OSOBOWE
511,220502_4.0001.71/1,71/1,Kartuzy - M,1,0.0103,dr 0.0103,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
512,220502_4.0001.171,171,Kartuzy - M,1,0.0405,Br-RIVb 0.0405,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
513,220502_4.0001.172,172,Kartuzy - M,1,0.0466,Br-RIVb 0.0466,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
514,220502_4.0001.167/4,167/4,Kartuzy - M,1,0.0176,dr 0.0176,,Nie,Nie,,DANE OSOBOWE
515,220502_4.0001.173,173,Kartuzy - M,1,0.0472,Br-RIVb 0.0472,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
516,220502_4.0001.167/2,167/2,Kartuzy - M,1,0.0075,dr 0.0075,,Nie,Nie,,DANE OSOBOWE
517,220502_4.0001.167/1,167/1,Kartuzy - M,1,0.0103,dr 0.0103,,Nie,Nie,,DANE OSOBOWE
518,220502_4.0001.140,140,Kartuzy - M,1,0.003,dr 0.0030,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
519,220502_4.0001.177,177,Kartuzy - M,1,0.0452,B 0.0452,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
520,220502_4.0001.8/13,8/13,Kartuzy - M,1,0.0012,B 0.0012,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
521,220502_4.0001.8/15,8/15,Kartuzy - M,1,0.0185,B 0.0185,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
522,220502_4.0001.16/6,16/6,Kartuzy - M,1,0.8348,dr 0.8348,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
523,220502_4.0001.14/24,14/24,Kartuzy - M,1,0.0083,B 0.0083,ul. Zagórze 1,Nie,Nie,,DANE OSOBOWE
524,220502_4.0001.14/2,14/2,Kartuzy - M,1,0.0331,B 0.0331,ul. Zagórze 1,Nie,Nie,,DANE OSOBOWE
525,220502_4.0001.35,35,Kartuzy - M,1,0.0941,B 0.0941,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
526,220502_4.0001.83/7,83/7,Kartuzy - M,1,0.0558,Bp 0.0558,ul. Bohaterów Westerplatte 46,Nie,Nie,,DANE OSOBOWE
527,220502_4.0001.179,179,Kartuzy - M,1,0.0563,B 0.0563,ul. Obrońców Poczty Polskiej 12,Nie,Nie,,DANE OSOBOWE
528,220502_4.0001.81/5,81/5,Kartuzy - M,1,0.0339,B 0.0339,ul. Bohaterów Westerplatte 45,Nie,Nie,,DANE OSOBOWE
529,220502_4.0001.85/8,85/8,Kartuzy - M,1,0.1763,B 0.1763,,Nie,Nie,,DANE OSOBOWE
530,220502_4.0001.39/3,39/3,Kartuzy - M,1,0.0355,Br-RIVb 0.0355,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
531,220502_4.0001.85/2,85/2,Kartuzy - M,1,0.0799,B 0.0799,ul. Łąkowa 87,Nie,Nie,,DANE OSOBOWE
532,220502_4.0001.20,20,Kartuzy - M,1,0.0851,Br-RV 0.0851,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
533,220502_4.0001.85/7,85/7,Kartuzy - M,1,0.0162,B 0.0162,,Nie,Nie,,DANE OSOBOWE
534,220502_4.0001.85/5,85/5,Kartuzy - M,1,0.047,B 0.0470,,Nie,Nie,,DANE OSOBOWE
535,220502_4.0001.79/2,79/2,Kartuzy - M,1,0.1002,RIVb 0.1002,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
